"filename", "language", "JSON with Comments", "TypeScript", "HTML", "Docker", "JSON", "comment", "blank", "total"
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\infraestructure\types\responseS.type.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\authentication\authentication.routes.ts", "TypeScript", 0, 20, 0, 0, 0, 8, 5, 33
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\authentication\google\controllers\handleGoogleAuthCallback.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\authentication\google\services\validatedAcount.service.ts", "TypeScript", 0, 12, 0, 0, 0, 16, 2, 30
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\client\client.routes.ts", "TypeScript", 0, 4, 0, 0, 0, 3, 4, 11
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\client\controller\JWT.client.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 4, 69
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\client\controller\verificated.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 5, 30
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\routes.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\user\controller\logout.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\user\controller\refresh.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\modules\user\user.routes.ts", "TypeScript", 0, 38, 0, 0, 0, 2, 7, 47
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\public\templates\emails\verification.html", "HTML", 0, 0, 102, 0, 0, 0, 3, 105
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\src\server.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\auth\tsconfig.json", "JSON with Comments", 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\Dockerfile", "Docker", 0, 0, 0, -19, 0, 0, -9, -28
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\nodemon.json", "JSON", 0, 0, 0, 0, -6, 0, -1, -7
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\package.json", "JSON", 0, 0, 0, 0, -39, 0, -1, -40
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\app.ts", "TypeScript", 0, -8, 0, 0, 0, 0, -3, -11
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\config.ts", "TypeScript", 0, -40, 0, 0, 0, 0, -5, -45
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\constants.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -1, -3
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\logger.ts", "TypeScript", 0, -63, 0, 0, 0, 0, -3, -66
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\enum\redirect.enum.ts", "TypeScript", 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\enum\services.enum.ts", "TypeScript", 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\AuthenticationError.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -2, -4
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\EntityNotFoundError.ts", "TypeScript", 0, -3, 0, 0, 0, 0, -2, -5
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\customError.ts", "TypeScript", 0, -20, 0, 0, 0, 0, -3, -23
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\types.d.ts", "TypeScript", 0, -1, 0, 0, 0, 0, -1, -2
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\error-handler.ts", "TypeScript", 0, -48, 0, 0, 0, 0, -5, -53
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\logger-middleware.ts", "TypeScript", 0, -27, 0, 0, 0, 0, -3, -30
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\morgan-middleware.ts", "TypeScript", 0, -11, 0, 0, 0, 0, -2, -13
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\routes\v1.routes.ts", "TypeScript", 0, -23, 0, 0, 0, 0, -3, -26
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\server.ts", "TypeScript", 0, -24, 0, 0, 0, 0, -5, -29
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\services.ts", "TypeScript", 0, -10, 0, 0, 0, 0, -1, -11
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\services\proxy.service.ts", "TypeScript", 0, -67, 0, 0, 0, 0, -7, -74
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\utils\instanceError.ts", "TypeScript", 0, -12, 0, 0, 0, 0, -1, -13
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\tsconfig.json", "JSON with Comments", -14, 0, 0, 0, 0, 0, -1, -15
"Total", "-", 21, 616, 102, -3, 26, 127, 130, 1019
